PostalCode,PostalCode Lat,PostalCode Long,Borough,Venue,Venue Lat,Venue Long,Venue Category
M4S,43.7043244,-79.3887901,Central Toronto,Zee Grill,43.70498511291793,-79.38847622354874,Seafood Restaurant
M4S,43.7043244,-79.3887901,Central Toronto,Starbucks,43.70608372289573,-79.38935494537283,Coffee Shop
M4S,43.7043244,-79.3887901,Central Toronto,June Rowlands Park,43.70051698238234,-79.38918866607341,Park
M4S,43.7043244,-79.3887901,Central Toronto,Florentia Ristorante,43.703594,-79.3879846,Italian Restaurant
M4S,43.7043244,-79.3887901,Central Toronto,Bread and Butter,43.70158248227423,-79.3873587869354,Sandwich Place
M4S,43.7043244,-79.3887901,Central Toronto,Mastermind Toys,43.704839243420075,-79.38854629838522,Toy / Game Store
M4S,43.7043244,-79.3887901,Central Toronto,Thai Spicy House,43.7019616162845,-79.3875129672506,Thai Restaurant
M4S,43.7043244,-79.3887901,Central Toronto,Granite Brewery,43.70799119535042,-79.38994275728216,Brewery
M4S,43.7043244,-79.3887901,Central Toronto,Flaky Tart,43.70653850357435,-79.38961139953942,Dessert Shop
M4S,43.7043244,-79.3887901,Central Toronto,Positano,43.704558,-79.38863854,Italian Restaurant
M4S,43.7043244,-79.3887901,Central Toronto,Hokkaido Sushi,43.708081718364554,-79.38999467246003,Sushi Restaurant
M4S,43.7043244,-79.3887901,Central Toronto,Crossfit Metric,43.70747956557104,-79.38985687683696,Gym
M4S,43.7043244,-79.3887901,Central Toronto,Hazel's Diner,43.70210267511542,-79.3876176468172,Diner
M4S,43.7043244,-79.3887901,Central Toronto,Starving Artist,43.701538,-79.38724,Restaurant
M4S,43.7043244,-79.3887901,Central Toronto,Marcheleo's Gourmet Marketplace,43.70804065392919,-79.39219480282117,Gourmet Shop
M4S,43.7043244,-79.3887901,Central Toronto,souvlaki express,43.70737794652891,-79.38984793934696,Greek Restaurant
M4S,43.7043244,-79.3887901,Central Toronto,Meow Cat Cafe,43.702927,-79.38819,Café
M4S,43.7043244,-79.3887901,Central Toronto,Apple Tree Farmer's Market,43.70032613903132,-79.38976045544334,Farmers Market
M4S,43.7043244,-79.3887901,Central Toronto,Second Cup,43.704344001380505,-79.38865888961692,Coffee Shop
M4S,43.7043244,-79.3887901,Central Toronto,Subway,43.70174172309233,-79.38759973282761,Sandwich Place
M4S,43.7043244,-79.3887901,Central Toronto,Pizza Pizza,43.70613821755869,-79.38929246805056,Pizza Place
M4S,43.7043244,-79.3887901,Central Toronto,Shoppers Drug Mart,43.70770180100904,-79.38985224627127,Pharmacy
M4S,43.7043244,-79.3887901,Central Toronto,Subway,43.708377580939676,-79.390473242753,Sandwich Place
M4S,43.7043244,-79.3887901,Central Toronto,Bolan Thai Cuisine,43.706833,-79.3892,Thai Restaurant
M4S,43.7043244,-79.3887901,Central Toronto,Hero Certified Burgers,43.708632833728444,-79.39029641345645,Burger Joint
M4S,43.7043244,-79.3887901,Central Toronto,Popeyes Louisiana Kitchen,43.707963392205365,-79.39205353943308,Fried Chicken Joint
M4T,43.6895743,-79.38315990000001,Central Toronto,Ravine,43.69035594864729,-79.38684099383201,Trail
M4T,43.6895743,-79.38315990000001,Central Toronto,Totum Life Science St. Clair,43.68652516898866,-79.38344858470381,Gym
M4T,43.6895743,-79.38315990000001,Central Toronto,Moorevale Park,43.693609879336925,-79.38346507970056,Playground
M4V,43.68641229999999,-79.4000493,Central Toronto,LCBO,43.686990631074885,-79.39923810519545,Convenience Store
M4V,43.68641229999999,-79.4000493,Central Toronto,The Market By Longo’s,43.686711,-79.399536,Supermarket
M4V,43.68641229999999,-79.4000493,Central Toronto,Union Social Eatery,43.68789522205706,-79.39491559605742,American Restaurant
M4V,43.68641229999999,-79.4000493,Central Toronto,Daeco Sushi,43.68783769992881,-79.39565249242683,Sushi Restaurant
M4V,43.68641229999999,-79.4000493,Central Toronto,Starbucks,43.687100712578356,-79.39861193331016,Coffee Shop
M4V,43.68641229999999,-79.4000493,Central Toronto,Tim Hortons,43.687682,-79.39684,Coffee Shop
M4V,43.68641229999999,-79.4000493,Central Toronto,Fionn MacCool's,43.68792137317272,-79.39478325313542,Pub
M4V,43.68641229999999,-79.4000493,Central Toronto,Scallywags,43.687981749962695,-79.39467568457059,Pub
M4V,43.68641229999999,-79.4000493,Central Toronto,Raiders E-Sports Centre,43.687682915990386,-79.39594439646025,Sports Bar
M4V,43.68641229999999,-79.4000493,Central Toronto,Popeyes Louisiana Kitchen,43.6893,-79.395302,Fried Chicken Joint
M4V,43.68641229999999,-79.4000493,Central Toronto,Mac's,43.68753413211594,-79.39797878265381,Convenience Store
M4V,43.68641229999999,-79.4000493,Central Toronto,Pizzaiolo,43.68799051263145,-79.39463424218918,Pizza Place
M4V,43.68641229999999,-79.4000493,Central Toronto,Sprout,43.687995609133544,-79.39465149552744,Vietnamese Restaurant
M4V,43.68641229999999,-79.4000493,Central Toronto,TTC Stop #,43.6858256,-79.40498099,Light Rail Station
M4V,43.68641229999999,-79.4000493,Central Toronto,Kiva's,43.687983764255456,-79.39471505267664,Bagel Shop
M4W,43.6795626,-79.37752940000001,Downtown Toronto,Rosedale Park,43.68232820227814,-79.37893434347683,Playground
M4W,43.6795626,-79.37752940000001,Downtown Toronto,Whitney Park,43.68203573063681,-79.37378835021306,Park
M4W,43.6795626,-79.37752940000001,Downtown Toronto,Alex Murray Parkette,43.678300240478954,-79.38277328698108,Park
M4W,43.6795626,-79.37752940000001,Downtown Toronto,Milkman's Lane,43.676352068015554,-79.37384239440172,Trail
